o,"kseru. he, hai, wahai."
outboard,"ks. diluar, sebelah luar. o. motor motor tempel."
outbreak,kb. 1 perjangkitan (of disease). 2 pecahnya (of war).
outbuilding,kb. bangunan tambahan.
outburst,"kb. 1 ledakan, riuh-rendah (of applouse). 2 semburan (of smoke, lava)."
outcast,"kb.orang yang diusir dari masyarakat, orang buangan, seorang paria/buangan masyarakat."
outclass,"kkt. termasuk tingkatan yang lebih tinggi, jauh lebih unggul."
outcome,kb. 1 hasil. o. of the elections hasil pemilihan. 2 akibat.
outcrop,"kb. singkapan, muncul ke permukaan bumi."
outcry,"kb. teriakan, ingar bingar, gaduh, haru-hara. to raise an o. against s.o. berteriak terhadap seseorang."
outdated,"ks. ketinggalan jaman, (model) kuno."
outdid,lih  OUTDO.
outdistance,"kkt. mendahului, meninggalkan."
outdo,"kkt. (outdid, outdone) mengalahkan, menang atas. He will not be outdone by everyone Dia tak akan terkalahkan oleh siapapun."
outdone,lih  OUTDO.
outdoor,ks. diluar. o. swimming pool kolam renang diluar (rumah).
outdoors,"kk. diluar rumah, di tempat terbuka. to eat o. makan diluar rumah (di udara), makan di tempat terbuka."
outdraw,"kkt. (outdrew, outdrawn) menarik lebih banyak orang (of sports)."
outdrawn,lih  OUTDRAW.
outdrew,lih  OUTDRAW.
outer,"ks. sebelah luar. o. lining bahan pelapis sebelah luar. space ruang angkasa, angkasa luar."
outermost,ks. yang paling jauh. in the o. regions di daerah-daerah yang paling jauh.
outfight,kkt. (outfought) mengalahkan dalam perkelahian.
outfit,kb. 1 perlengkapan. 2 pakaian (of a woman). 3 perusahaan. 4 kesatuan. -kkt. (outfitted) memperlengkapi.
outfitter,kb. penjual pakaian (pria) eceran.
outflank,kkt. mengepung.
outflow,"kb. mengalirnya, pengaliran, keluar."
outfought,lih  OUTFIGHT.
outfox,"kkt. mengakali, menipu."
outgo,kb. pengeluaran.
outgoing,"ks. 1 (retiring) meninggalkan dinas, demisioner, mengundurkan diri. 2 ramah tamah. 3 surut."
outgrew,lih  OUTGROW.
outgrow,"kkt. (outgrew, outgrown) 1 menjadi lebih besar (of size). 2 menjadi lebih tinggi. 3 mengatasi, menguasai (o's temper)."
outgrown,lih  OUTGROW.
outgrowth,"kb. 1 hasil pertumbuhan, perkembangan (of on idea). 2 tumbuhan (of hair)."
outguess,kkt. lebih pintar dari We couldn't o. him Ia terlalu pintar buat kami.
outhouse,kb. kakus (diluar rumah).
outlandish,ks. 1 asing (of custom). 2 aneh (of clothing). 3 jauh terpencil (of a place).
outlast,kkt. hidup lebih lama dari.
outlaw,kb. orang diluar perlindungan hukum. -kkt. 1 menyatakan tidak syah. 2 mencabut perlindungan hukum.
outlay,"kb. pengeluaran, pembayaran, pembiayaan."
outlet,kb. 1 saluran keluar (for o's energy). 2 jalan keluar/lepas. 3 Elec.: stopkontak. 4 toko/tempat pejualan.
outline,"kb. 1 garis, bagan, sketsa, skema (of a plan). 2 garis bentuk (of a building). -kkt. 1 menguraikan (o's duty). 2 memperhatikan garis bentuk. 3 menggambar denah peta. o. map peta bagan."
outlive,kkt. 1 hidup lebih lama daripada. 2 dipakai lbih lama daripada (of street car).
outlook,"kb. 1 pandangan. 2 harapan. 3 pemandangan (over valley, from a window). 4 ramalan."
outlying,"kb. terpencil, jauh. o. district wilayah yang terpentil."
outman,"kkt. (outmanned) melebihi anggouta, mengalahkan dalam jumlah anggota."
outmaneuver,kkt. mengakali (dalam permainan bola dsb).
outmatch,"kkt. melebihi, menang dalam jumlah, mengalahkan. We were outmatched by... Kami dikalahkan oleh..."
outmoded,ks. ketinggalan zaman. o. car mobil kuno.
outnumber,kkt. melebihi/menang  dalam bilangan.
outpace,kkt. 1 melebihi. 2 berlari lebih cepat.
outpatient,kb. pasien yang diobati di rumah sakit tetapi tidak tinggal di rumah sakit.
outplay,"kkt. bermain lebih bagus daripada, lebih unggul."
outpoint,kkt. Sport : lebih banyak mendapat angka daripada.
outpost,"kb. 1 pos terdepan, pengawal luar, tempat kawalan luar. 2 pelopor, pionir (of  civilization peradaban)."
outpouring,"kb. 1 pencurahan, penumpahan. 2 sesuatu yang membanjir/melimpah."
output,"kb. 1 hasil, produksi. literary o. hasil kesusasteraan, karya sastera. 2 informasi (dari computer). 3 tenaga mesin (of electricity)."
outrage,kb. 1 kebiadaban (against society). 2 kekejaman. 3 (insult) penghinaan. -kkt. 1 menyakitkan hati. 2 (rape) memperkosa (perempuan).
outrageous,"ks. 1 menyakitkan hati, memalukan (of conduct). 2 kasar, kotor, tak patit (of language). 3 menghina. -outrageously kk. sangat, terlalu. o. expensive sangat/terlampau mahal."
outran,lih  OUTRUN.
outrank,kkt. lebih tinggi pangkatnya daripada. A colonel outrank a mayor Kolonel berpangkat lebih tinggi daripada mayor.
outrigger,kb. (peng)gandung.
outright,"ks. 1 yang sama sekali palsu. o. lie kebohongan yang sama sekali palsu. 2 secara ikhlas. o. gift hadiah secara ikhlas. -kk. sekaligus, seketika itu. to pay o. membayar seketika itu."
outrival,kkt. melebihi dalam persaingan.
outrun,"kkt. (outran, outrun) berlari lebih cepat dari."
outsell,kkt. (outsold) menjual lebih banyak dari.
outset,"kb. permulaan. at the o. pada permulaan, mula-mula."
outshine,kkt. (outshone) 1 lebih cemerlang daripada. 2 paling pintar dari yang lain.
outshone,lih  OUTSHINE.
outside,"kb. sebelah luar. from the o. dari (sebelah) luar. -ks. 1 sebelah luar. 2 tipis. -kk. diluar, keluar. -kd. diluar. o. the door diluar pintu."
outsider,kb. orang luar.
outskirts,"kb., j. daerah pinggiran, pinggir (of a city)."
outsmart,kkt. mengakali.
outsold,lih  OUTSELL.
outspeard,"ks. terentang, terhampar. with arms o. dengan tangan terentang."
outspoken,"ks. terang-terangan, blak-blakan."
outstanding,"ks. 1 terkemuka, terkenal. o. student mahasiswa yang menonjol. 2 belum diselesaikan. debts o. hutang yang belum dilunasi."
outstretched,"ks. terulur, diulurkan. with o. arms dengan tangan yang  diulurkan."
outstrip,"kkt. (outstripped) melebihi, melampaui."
outtalk,"kkt. berbicara lebih baik, menang dalam percakapan."
outvote,kkt. mengalahkan dalam pemilihan.
outward,"ks. disebelah luar, keluar. o. voyage pelayaran keluar. -kk keluar. outward-bound ks. dengan jurusan/tujuan luar. -outwardly kk. pada lahirnya, dari luar, kelihatannya."
outwards,#NAME?
outwear,"kkt. (outwore, outworn) lebih tahan daripada (of clothes). -outworn  ks. lungsuran, usang, bekas pakai. o. clothes pakaian-pakaian usang."
outweigh,kkt. 1 lebih berat  daripada. 2 labih banyak daripada. The advantages o. the disadvantages Keuntungannya lebih banyak daripada kerugiannya.
outwit,"kkt. (outwitted) memperdayakan, mengecoh."
outwore,lih  OUTWEAR.
outwork,kkt. lebih kuat bekerja daripada.
outworn,ks. lih  OUTWEAR.
oval,ks. bujur telur. oval-shaped ks. jorong.
ovary,kb. (j. -ries) indung/induk telur.
ovation,"kb. sambutan dengan tepuk tangan, sambutan sorak-sorai. standing o. sambutan sorak-sorai sambil berdiri."
oven,"kb. kompor, tanur, tungku. coke o. tungku pembuat arang. That room is a regular o. Kamar itu sangat panas."
ovenware,kb. piring-piring tahan panas (perkakas dapur).
over,"ks. berakhir. -kk. 1 diatas. 2 keatas. 3 sisa, lebih. 4 lebih dari. 5 lagi. 6 selesai. 7 daripada."
overabundance,"ks. meluap-luap, melimpah-limpah."
overact,"kki, bermain berlebih-lebihan."
overactive,"ks. terlalu aktif, terlalu banyak bekerja."
overage,ks. terlalu tua.
overall,"overalls kb., baju/pakaian kerja. -ks. secara  keseluruhan/menyeluruh. the o. cost ongkos keseluruhan."
overanxious,ks. terlalu cemas.
overate,lih  OVEREAT.
overawe,kkt. sangat mengagumkan/mempesonakan. to be overawed by o's ability sangat kagum melihat kecakapannya.
overbearing,ks. suka menguasai/memaksa. o. personality watak suka menguasai.
overboard,kk. keluar kapal. Man o ! Orang jatuh ke laut !
overburden,kkt. terlalu membebani. She's not overburdened with brains Ia tak terlalu pandai.
overcame,lih  OVERCOME.
overcast,"kb. cuaca mendung, awan. -ks. mendung, berawan (of sky)."
overcharge,kkt. menjual terlalu mahal.
overcoat,kb. mantel.
overcome,"kkt., kki. (overcame, overcome) 1 mengatasi, menanggulangi (a problem, o's shyness). 2 menguasai."
overconfidence,"kb. kepercayaan yang berlebih-lebihan, hal terlalu percaya."
overconfident,ks. terlalu percaya (of akan).
overcrowd,kkt. membuat sesak/padat. -overcrowded ks. terlalu penuh. 0. bus bis yang terlalu penuh. -overcrowding kb. kepadatan yang berlebihan.
overdid,lih  OVERDO.
overdo,"kkt. (overdid, overdone) melakukan sesuatu berlebih-lebihan.  -overdone ks. terlalu lama dimasak  (of food)."
overdone,lih  OVERDO.
overdose,"kb. lebih dari takaran semestinya, terlalu banyak."
overdraft,kb. penarikan cek yang melebihi jumlah uang di bank.
overdraw,"kkt. (overdrew, overdrawn) 1 menarik cek lebih daripada uang simpanan. 2 terlalu berlebih-lebihan melukiskan peranan (of characters in a novel)."
overdrawn,lih  OVERDRAW.
overdress,kki. berpakaian secara berlebih-lebihan.
overdrew,lih  OVERDRAW.
overdrive,"kb. gir tambahan, alat penambah kecepatan."
overdue,"ks. 1 terlamabat (of plane, train). 2 melampaui batas waktunya(of an account)."
overeat,"kkt., kki. (overate, overeaten) makan terlalu banyak."
overeaten,lih  OVEREAT
overestimate,kkt. menaksir terlalu tinggi.
overexertion,kb. pekerjaan yang terlalu keras.
overexpose,kkt. cahaya terlalu banyak masuk. The negative was overexposed Negatipnya kena terlalu banyak cahaya.
overextend,kkt. 1 mengulur-ulur (o's visit). 2 bekerja terlalu berat.
overflight,kb. penerbangan diatas wilayah negeri lain.
overflow,"kb. 1 kebanjiran (of a crowd). 2 banjir (of river, tank). -kkt. meluapi.  -kki. melimpah, meluap."
overgrown,ks. tumbuh melampaui. yard o. with weeds halaman yang penuh ditumbuhi rumput-rumput.
overhand,"kb. Tenn.: o. shot pukulan overhand, pukulan dengan ayunan tangan yang tinggi."
overhang,"kb. emper, serambi. -kki. (overhung) bergantung diatas, menganjur. overhanging vines tanaman  menjalar yang bergantungan."
overhaul,"kb. pemeriksaan. thorough o. pemeriksaan yang sangat teliti. -kkt. 1 memeriksa, secara seksama. 2 berhasil mengejar (a speeder)."
overhead,"kb. ongkos exploitasi, pengeluaran tambahan (seperti sewa, listerik, pajak dsb)."
overhear,"kkt. (overheard) ada mendengar-dengar, ada menangkap."
overheard,lih  OVERHEAR.
overheat,kkt. membuat/menjadikan terlalu panas.  -kki. menjadi terlalu panas.
overhung,lih  OVERHANG.
overjoyed,ks. sangat gembira.
overkill,kb. pembunuhan besar-besaran.
overladen,ks. penuh dibebani. o. with responsibility penuh dibebani pertanggungan jawab.
overlaid,lih  OVERLAY.
overland,"ks., kk. melalui darat."
overlap,"kb. saling meliputi/melengkapi. -kki. (overlapped) dapat dicocokkan, bersamaan waktu."
overlay,"kb. lembaran penutup, lapisan atas, hamparan. -kkt. (overlaid) 1 melapisi. The table is overlaid in veneer Meja itu dilapisi dengan suatu lapsan. 2 membebani (with responsibility)."
overleaf,kb. halaman sebaliknya/sebelah.
overload,"kb. beban yang terlalu berat. -kkt. 1 memberi muatan melebihi kekuatan (truck). 2 memberi muatan melewati batas (current, circuit)."
overlook,"kb. pemandangan kebawah. -kkt. 1 melupakan, pangling (details, facts). 2 memaafkan (a mistake). 3 memandang kebawah (a valley). 4 mengabaikan (o's talent)."
overlord,"kb. tuan besar, maharaja."
overly,"kk. sangat, terlalu. o. eager sangat ingin."
overnight,"ks. bermalam. -kk. semalam,  waktu (dalam) satu malam."
overpaid,lih  OVERPAY.
overpass,"kb. jembatan diatas jalan, jembatan penyeberangan."
overpay,kkt. (overpaid) membayar lebih banyak dari yang semestinya.
overplay,kkt. bermain berlebih-lebihan. to o. o's hand mencoba untuk mencari terlalu banyak.
overpower,kkt. 1 menggagahi. 2 menyergap.
overproduction,kb. produksi yang berlebihan.
overran,lih OVERRUN.
overrate,kkt. menilai terlalu tinggi.
overreach,kkt. melampaui batas yang ditentukan (o's authority).  to o. o.s. bertindak terlalu berani.
overreact,kki. bertindak melampaui batas.
overridden,lih  OVERRIDE.
override,"kkt. (overrode, overridden) mengesampingkan, menolak (a decision, objection). overriding objection keberatan yang menolaknya."
overripe,"ks. 1 terlalu masak, ranum. 2 terlalu mendesak (of conditions)."
overrode,lih  OVERRIDE.
overrule,"kkt. menolak, mengesampingkan. Objection overruled Keberatan ditolak."
overrun,"kkt. (overran, overrun) 1 membanjiri, mengerumuni (a house with cats). 2 mengeroyok, menyerbu (a country). 3 menutupi."
oversaw,lih  OVERSEE.
overseas,"ks. luar negeri, seberang laut. o. services dinas tentara diseberang lautan.  -kk. diluar negeri, di perantauan."
oversee,"kkt. (oversaw, overseen) mengawasi, mengatur, menjaga (a firm, play-ground)."
overseen,lih  OVERSEE.
overseer,"kb. mandor, pengawas."
oversell,kkt. (oversold) terlalu banyak menjual (of plane tickets).
oversexed,ks. mempunyai nafsu syahwat terlalu besar.
overshadow,"kkt. mengalihkan, membelakangi. She is overshadowed by her older sister Dia dikalahkan oleh kakaknya."
overshoe,kb. sepatu luar.
overshoot,kkt. (overshot) melampaui. to o. the runway terlalu jauh melampaui landasan.
overshot,lih  OVERSHOOT.
oversight,"kb. kekeliruan, kekhilafan, kesilapan, kesalahan, kealpaan, kalalaian."
oversimplification,kb. penyederhanaan yang berlebih- lebihan.
oversimplified,lih  OVERSIMPLIFY.
oversimplifies,lih  OVERSIMPLIFY.
oversimplify,kk. (oversimplified). menyederhanakan secara  berlebih-lebihan
oversize,ks. terlalu besar. o. shirt kemeja yang terlalu besar.
oversized,ks. besar sekali. o. boat sepatu bot yang terlalu besar.
oversleep,kki. (overslept). 1 tidur terlalu lama.  2 bangun kesiangan.
overslept,lih oversleep.
oversold,lih  OVERSELL.
overstate,kkt. terlalu keras menekankan (o's case persoalannya).
overstatement,kb. pernyataan yang berlebih-lebihan.
overstay,kkt. memperpanjang. to o. o's welcome tinggal lebih lama daripada sepantasnya.
overstep,"kkt. (overstepped) melampaui, melewati (o's authority)."
overstock,kkt. terlalu banyak menimbun.
overstuff,kkt. mengisi terlalu tebal. overstuffed chair kursi yang bantalannya tebal sekali.
oversubscribe,kkt. menyumbang uang yang berlebih-lebihan.
overt,"ks. jelas, terang, lahir. o. act tindakan yang bermaksud jahat. -overtly kk. pada lahirnya."
overtake,"kkt. (overtook, overtaken) menyusul. His car overtook hers Mobilnya mendekati mobil wanita itu (dari belakang)."
overtaken,lih  OVERTAKE.
overtax,kkt. 1 mengenakan terlalu banyak pajak. 2 melemahkan (o's strength tenaganya).
overthrew,lih  OVERTHROW.
overthrow,"kb. perobohan, penggulingan (of a government). -kkt. (overthrew, overthrown) menjatuhkan, menggulingkan, merobohkan."
overthrown,lih  OVERTHROW.
overtime,kb. lembur. to work o. bekerja lembur. o. pay bayaran lembur.
overtone,kb. nada tambahan.
overtook,lih   OVERTAKE.
overture,"kb. 1 lagu pembukaan, musik pengantar. 2 tawaran, usul. to make overtures to mengajukan tawaran kepada."
overturn,"kkt. 1 menjatuhkan, menggulingkan (a government). 2 menjungkir-balikkan (a canoe). -kki. berjungkir-balik (of a car)."
overview,"kb. peninjauan luas, gambaran ikhtisar."
overwater,ks. melalui laut. the o. rute jalan melalui laut.
overweening,"ks. terlalu kuat, besar sekali."
overweight,ks. kelebihan berat. She's ten pounds o. Dia kelebihan berat sepuluh pon.
overwhelm,"kkt. meliputi, membanjiri. to be overwhelmed a) (with joy) gembira meluap-luap. b) with disaster) kewalahan. -overwhelming ks. besar sekali, berlimpahan."
overwork,"kb. terlalu banyak pekerjaan. -kki. terlalu banyak bekerja, bekerja melamapui batas."
overwrought,ks. terlalu capek/meregang.
ovum,kb. (j. ova) telur.
owe,"kkt. 1 berhutang. 2 memperlihatkan, memberikan. 3 menerima. -owing ks. berhutang."
owl,kb. burung hantu.
own,"kb. to come into o's o. mendapatkan yang selayaknya, memperoleh yang sewajarnya, mendapat penghargaan semestinya. -ks. kepunyaan sendiri. -kkt. 1 memiliki. 2 mengakui."
owner,"kb. pemilik, yang empunya."
ownership,"kb. kemilikan, hak milik,kepemilikan. This store is under new o. Toko ini di bawah pemilikan/pemilik baru."
ox,kb. (j. oxen) lembu jantan.
oxcart,kb. gerobak sapi.
oxen,lih  OX.
oxford,kb. semacam sepatu berumur rendah. He's an O. man Ia lulusan (universitas) Oxford.
oxidation,kb. oksidasi.
oxide,kb. oksid(a).
oxidize,kkt. mengoksid(asi).
oxtail,kb. ekor lembu. o. soup buntut.
oxtongue,kb. lidah lembu.
oxyacetylene,ks. o. torch lampu oksiasetilin.
oxygen,"kb. zat asam/pembakar, oksigen. o. tent tudung oksigen."
oyster,kb. tiram. o. bed petiraman.
oz.,[ounce] ons.
ozone,kb. 1 ozon. 2 udara murni.
devilfish,kb. semacam ikan gurita.
devilish,"ks. 1 jahat, jahanam. a d. temper  tabiat jahat. 2 besar sekali. I got into d. trouble Saya terjerumus dalam kesukaran yang besar sekali."
devilment,kb. 1 perbuatan yang jahat. 2 kenekatan. I wonder what d. he's up to now ? Saya ingin tahu kenekatan apa yang hendak dilakukannya sekarang.
devious,ks. berliku-liku. d. trick/ways tipu daya yang berliku-liku. d. route jalan yang berliku-liku.
devise,"kkt. menemukan, memikirkan, merencanakan. to d. a way merencanakan suatu cara."
devoid,"ks. (samasekali) tanpa, ketiadaan. He was utterly d. of humor  Ia sama sekali tak memiliki rasa humor."
devote,kkt. 1 mencurahkan. 2 bertekun. 3 menyediakan.  to be devoted to  sayang akan adiknya yang perempuan.
devotee,kb. penggemar (yang taat kepada sesuatu).
devotion,kb. 1 kesetiaan. 2 ketaatan. d. to duty   ketaatan pada kewajiban. 3 kesayangan.  -devotions j. kebaktian keagamaan.
devotional,ks. yang bersifat  kebaktian. d. service  ibadah kebaktian.
devour,kkt. 1 mengganyang. 2 menelan. 3 melahap (o's food). 4 membaca.
devout,"ks. 1 yang beriman, saleh. a d. man pria yang beriman. 2 taat. -devoutly kk. dengan tulus-ikhlas, dengan segala ketulusan hati."
devulve,kki. berpindah. The responsibility devolved upon him  Tanggung jawab berpindah kepadanya.
dew,kb. embun.
dewdrop,kb. tetesan/titik embun.
dexterity,"kb. ketangkasan, kecekatan, ketrampilan."
dexterous,"ks. trampil, tangkas, cekatan."
dextrose,kb. dekstrosa.
diabetes,"kb. penyakit gula, penyakit kencing manis."
diabetic,kb. penderita penyakit kencing manis. -ks. yang berhubungan dengan penyakit kencing manis.
diabolical,"ks. kejam. d. torture penyiksaan yang kejam. d. grin seringai yang menyeramkan, menyeringai seperti setan."
diachronic,ks. berdasarkan/menurut sejarah. d. linguistics ilmu bahasa menurut sejarah.
diacritic,"kb. tanda pengenal, diakritik."
diacritical,ks. bersifat mengenal. d. mark tanda pengenal.
diadem,kb. mahkota.
diaeresis,"kb. tanda titik dua diatas huruf suara, menandakan supaya huruf itu dibunyikan juga."
diagnose,"kkt. menentukan diagnosa, mengenal (an illness)."
diagnosis,"kb. diagnosa, ilmu pengenal penyakit."
diagnostic,ks. yang berdasarkan/bertautan dengan diagnosa. d. test  percobaan untuk memudahkan pembuatan diagnosa.`
diagonal,kb. diagonal. -ks. 1 diagonal. 2 sudut-menyudut. -diagonally kk. secara diagonal.
diagram,"kb. diagram, buram, sketsa, bagan. -kkt. (diagrammed) 1 menggambar bagan/rencana. 2 memperlihatkan susunan daripada."
dial,"kb. 1 lempeng jam, muka arloji. 2 cakra angka (on dashboard). 3 cakra angka, piringan, tombol penjetel (radio, telephone, TV).  -kkt. 1 memutar angka (telephone) 2 memasang."
dialect,"kb. dialek, logat. provincial d. bahasa daerah. d. atlas peta logat-logat bahasa."
dialectal,ks. yang berhubungan  dengan dialek.
dialectic(s),kb. dialektika.
dialectical,ks.  berdasarkan dialektika. d. materialism materialisme (berdasarkan dialektika).
dialectician,kb. ahli dialektika.
dialectology,kb. dialektologi.
dialog,#NAME?
dialogue,"kb. dialog, percakapan dwicakap."
diameter,kb. garis tengah.
diametrical,"ks. diametral, yang samasekali bertentangan mengenai. -diametrically kk. samasekali bertentangan dengan pendapat kami."
diamond,"kb. 1 intan, berlian. 2 ret, wajik. 3  lapangan. baseball d. lapangan baseball."
diaper,kb. popok.
diaphragm,"kb. 1 Anat.: sekat, rongga badan antara dada dan perut, diafrakma. 2 (IUD) spiral."
diarrh(o)ea,"kb. mencret, murus."
diary,kb. (j. -ries) buku harian.
diatetics,"kb, ilmu yang mempelajari macam dan banyaknya makanan yang diperlukan oleh badan (cabang ilmu gizi)."
diatribe,kb. pidato atau tulisan berisi kecaman-kecaman yang tajam.
dibs,"kb., j. pilihan pertama. Sl.: D. on the candy pilihan pertama ialah gula-gula itu."
dice,"kb.,  j. dadu. to shoot d. bermain dadu. lih  DIE.  Sl.: no d. tak berhasil -kkt. memotong-motong. to d. potatoes  memotong-motong kentang dalam potongan-potongan persegi empat."
dichotomy,"kb. (j. -mies) pembagian dalam  dua bagian, pembelahan dua, bercabang dalam dua bagian."
dick,"kb. Sl.: mata-mata, reserse, detektip."
dickens,kseru. jahanam ? What the d. is going on here ? Dubilah/Sompret / Busyet ! Ada apa sih disini ?
dicker,"kki. bertawar-tawaran. to d. with the vendors  bertawar-tawaran dengan tukang-tukang jualan.  -dickering kb. tawar-menawar, bertawar-tawaran.  political d. tawar-menawar politik."
dict.,(dictionary)  kamus.
dictaphone,"kb. alat pengimla, alat mendikte surat-surat, mesin imla."
dictate,dictate
dictation,"kb. 1 pengimlaan, pendiktean. 2 apa yang didiktekan. 3 perintah."
dictator,kb. diktator.
dictatorial,"ks. 1 adikara. 2 angkuh, diktatoris. d. manner sifat angkuh."
dictatorship,kb. diktatur.
diction,kb. gaya menulis atau berbicara. 2 artikulasi.
dictionary,"kb. (j. -ries) kamus, kitab logat. d. making perkamusan."
dictum,"kb. (j. -a, -ums). keputusan, ucapan."
did,lih  DO.
didacric,ks. yang bersifat mendidik. d. novel roman yang bersifat mendidik.
didn't,(did not) lih DID.
die,"kb. (j. dice) mata dadu.  -kki. 1 mati. 2 mati, meninggal dunia. to d. hard sukar lenyap, kuat bertahan. to d. down 1 menghilang. 2 reda. - the dying  kb. yang akan mati.  ks. 1 hampir mati. 2 hampir hilang."
dieresis,#NAME?
diesel,kb. lokomotif disel. -ks. disel.  d. oil minyak disel/solar. d.-powered truck truk yang bertenaga disel.
diet,"kb. 1 diet.  to follow a strict d. mengikuti diet yang keras. 2 makanan,  diet. low-fat d. makanan yang sedikit lemaknya."
dietary,"ks. yang berhubungan dengan makanan. d. rules  peraturan-peraturan diet, peraturan-peraturan susunan makanan."
dietetic,ks. yang berhubungan dengan diet atau susunan makanan. d. foods makanan diet.
dietician,#NAME?
dietitian,kb. ahli/penata diet.
differ,kki. berbeda.  Opinions d. Pendapat-pendapat berbeda.
difference,"kb. 1  perbedaan.  2 pertentangan, perselisihan. 3 pertikaian. 4 selisihnya. 5 sisa."
different,"ks. tidak sama.  to be d. from berbeda dari, berlainan. -differently kk. berlainan, berbeda."
differential,ks. 1 yang berbeda. d. rates harga-harga yang berbeda. 2 diferensial. d. calculus hitungan diferensial.
differentiate,kkt. membedakan. -kki. mengadakan perbedaan.  to d. between two types  mengadakan perbedaan antara dua macam.
differentiation,"kb.  perbedaan, diferensiasi."
difficult,"ks. 1 sukar, sulit. 2 payah. (of  a problem)."
difficulty,kb. (j. ties) 1 kesukaran. financial difficulties  kesukaran-kesukaran keuangan.  2 kesulitan.
diffidence,"kb. 1 sifat malu-malu. 2  kehilangan kepercayaan kepada diri sendiri, ketakberanian."
diffident,ks. malu-malu.
diffuse,"ks. 1 bersifat panjang, memakai (terlalu) banyak kata-kata.  2 yang tersebar.  -kkt. menyebarkan."
diffusion,kb. 1 difusi. d. of light difusi  cahaya. 2 penyebaran. d. of  knowledge penyebaran pengetahuan.
diffusive,"ks. 1 bersifat, menyebar. 2 yang memakai kata-kata yang berlebih - lebihan."
dig,"kb. 1 (peng)galian. 2 sikutan, kotosan.  3 sindiran. -kkt. (dug) 1 menggali (a hole). 2 menusuk-nusuk, menjotos. 3 Sl.: mengerti. 4 Sl.: menghargai.  5 Sl.: menyukai. -kki. menggali. -digging kb. 1 penggalian. 2 tempat penggalian."
digest,"kb. 1 intisari. 2 perpendekan, persingkatan.  -kkt. 1 mencernakan (food). 2 menyelami isi  (a book). -kki. dicernakan. Ths food is difficult to d. Makanan ini sukar dicernakan."
digestible,ks. dapat dicernakan.
digestion,kb. pencernaan.  Arguments spoil my d. Saya muak mendengarkan argumen-argumen.
digestive,ks. yang bertautan dengan pencernaan. d. system susunan pencernaan. d. tablet tablet yang mempercepat pencernaan.
digger,kb. 1 (person) seorang penggali. 2 alat penggali.
digit,"kb. 1 jari tangan/kaki. 2 bijian, angka dari satu s/d sembilan. 3 jari sebagai ukuran panjang kira-kira 3/4 inci."
digital,ks. yang berhubungan dengan jari. d. computer mesin hitung yang mempergunakan angka-angka untuk sistim-sistim perhitungan tertentu.
digitalis,kb. daun-daunan dipakai sebagai obat memperkuat jantung.
dignify,"kkt. (dignified) menghargai, menaikkan derajat. -dignified) ks. yang bermartabat. a d. old gentleman seorang kakek yang bermartabat."
dignitary,"kb. (j. -ries) orang yang berkedudukan tinggi, orang yang terkemuka."
dignity,kb. (j. -ties) 1 martabat. 2 gengsi. He does everything with d. Segala sesuatu dilakukannya dengan gengsi.
digraph,"kb. huruf rangkap, dwihuruf."
digress,"kki. menyimpang, melantur. to d. from the subject menyimpang dari pokok pembicaraan."
digression,kb. penyimpangan.
dike,"kb. 1 tanggul, pematang. 2 (small) gili-gili. 3 bendungan, tambak."
dilapidate,kkt. merusak. -dilapidated ks. bobrok (karena tidak dipelihara). a d. mansion sebuah rumah besar yang bobrok.
dilate,"kki. membesar, meluas, melebar."
dilatory,"ks. terlambat, lalai. to be d. in terlambat dalam.  d. tactics siasat atau perbuatan memperlambat."
dilemma,"kb. 1 pilihan, dilema. 2 malu. on the horns of a d. bagai makan buah simalakama."
dilettante,"kb., ks. penggemar, pencinta kesenian (tanpa menjadi ahli)."
diligence,"kb. kerajinan, ketentuan."
diligent,"ks. rajin, tekun."
dill,"kb. tumbuh-tumbuhan yang bijinya harum dipakai untuk asinan, masak-masakan, minyak wangi dan obat-obatan. d. pickle acar timun yang memakai 'dill'."
dilly,kb. Sl.: (j. -lies) Sl.: orang atau hal yang dianggap luar biasa. She's a d. Perempuan itu betul-betul hebat.
dilly-dally,"kki. (dilly-dallied) membuang-buang waktu, berlengah-lengah."
dilute,"kkt. mencairkan, menipiskan. -diluted ks. yang ditambah air. d. orange juice air jeruk yang ditambah air."
dim,"ks. suram. d. light lampu yang suram. -kkt. (dimmed) mengurangkan, mengecilkan, mengedim. to d. the headlights mengecilkan lampu mobil. -kki. kecil cahayanya. The lights dimmed Lampu-lampu  berkurang cahayanya."
dime,"kb. sepicis, uang picisan.  a d. a dozen  banyak dan mudah didapat. d. store toko murah yang menjual barang dengan harga beberapa sen keatas."
dimension,"kb. 1 ukuran. the dimensions of a room ukuran sebuah ruangan. 2 besarnya, luasnya. We still do not know the dimensions of the problem  Kami belum mengetahui besarnya persoalan itu."
dimensional,"ks. yang bertautan dengan ukuran, dimensi atau luas. two-d. dua-dimensi."
diminish,kkt. mengurangi. to d. s.o's enthusiasm mengurangi semangat seseorang.  -kki. berkurang.  -diminishing ks. yang berkurang.
diminution,kb. 1 pengurangan. d. of strength pengurangan tenaga. 2 penyusutan.
diminutive,kb. Gram.: kata pengecil. -ks. kecil. d. replica of the original tiruan yang kecil daripada yang asli.
dimmer,"kb. lampu dim, alat penyuram."
dimple,kb. lesung/cawak pipi.
dimwit,kb. Inf.: orang yang tolol.
